gene_callers_id	KO_ID	function	sample	coverage	detection
1709903	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	105.22755227552275	1
1709903	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	88.92373923739237	0.9052890528905287
1709903	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	34.8610086100861	0.4907749077490775
1185346	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	28.957918050941306	0.9966777408637874
1185346	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	5.829457364341085	0.4839424141749723
1185346	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	7.43078626799557	0.4496124031007752
921128	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St1_S4B	9.348258706467664	1
921128	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St1_S4M	4.08955223880597	0.3880597014925373
921128	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St1_S4S	0	0
1359363	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	20.272357723577237	0.9532520325203252
1359363	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	20.03048780487805	0.9329268292682928
1359363	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	0	0
19512	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	9.057777777777778	0.9866666666666668
19512	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	9.224444444444444	0.8111111111111111
19512	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	0	0
747852	K00374	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	St1_S4B	17.941262848751837	0.9236417033773862
747852	K00374	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	St1_S4M	5.844346549192364	0.6461086637298091
747852	K00374	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	St1_S4S	32.56681350954479	0.7797356828193832
252981	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St1_S4B	21.79069767441861	0.9777131782945736
252981	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St1_S4M	1.7374031007751938	0.28972868217054265
252981	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St1_S4S	29.561046511627907	0.6317829457364341
1753152	K02567	nitrate reductase (cytochrome) [EC:1.9.6.1]	St1_S4B	11.96	0.9633333333333334
1753152	K02567	nitrate reductase (cytochrome) [EC:1.9.6.1]	St1_S4M	9.669333333333332	0.9666666666666668
1753152	K02567	nitrate reductase (cytochrome) [EC:1.9.6.1]	St1_S4S	4.483333333333333	0.32
888296	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	40.101851851851855	1
888296	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	45.632407407407406	1
888296	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	5.362962962962963	0.3712962962962963
443514	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	34.88167388167388	0.9047619047619048
443514	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	66.08946608946609	0.8672438672438673
443514	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	4.24963924963925	0.4545454545454546
1363937	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St1_S4B	10.211858279103398	0.8532176428054953
1363937	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St1_S4M	3.342010122921186	0.3665943600867679
1363937	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St1_S4S	16.68112798264642	0.5748373101952278
