gene_callers_id	KO_ID	function	sample	coverage	detection
1397102	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	24.097094801223243	0.9051987767584098
1397102	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	13.219418960244647	0.5328746177370031
1397102	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	3.301223241590214	0.3922018348623853
158371	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	10843.186626746508	1
158371	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	20992.16367265469	1
158371	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	5862.6556886227545	0.9530938123752496
1265105	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	739.868544600939	1
1265105	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	1711.3333333333333	0.6854460093896714
1265105	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	230.74647887323945	0.45422535211267606
161749	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	34.05020080321285	0.964859437751004
161749	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	32.3925702811245	0.8283132530120482
161749	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	14.070281124497992	0.3865461847389558
175388	K02568	nitrate reductase (cytochrome), electron transfer subunit	St3_S14B	17.022556390977442	0.9924812030075189
175388	K02568	nitrate reductase (cytochrome), electron transfer subunit	St3_S14M	6.7669172932330826	0.3784461152882206
175388	K02568	nitrate reductase (cytochrome), electron transfer subunit	St3_S14S	0	0
1569286	K02305	nitric oxide reductase subunit C	St3_S14B	37.84848484848485	1
1569286	K02305	nitric oxide reductase subunit C	St3_S14M	0	0
1569286	K02305	nitric oxide reductase subunit C	St3_S14S	0	0
856298	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14B	57.313178294573646	0.9782945736434108
856298	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14M	90.4798449612403	0.9852713178294572
856298	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14S	18.165116279069768	0.6627906976744186
1615728	K02305	nitric oxide reductase subunit C	St3_S14B	22.738372093023255	1
1615728	K02305	nitric oxide reductase subunit C	St3_S14M	0	0
1615728	K02305	nitric oxide reductase subunit C	St3_S14S	0	0
1791053	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	34.760416666666664	0.8692129629629629
1791053	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	10.58912037037037	0.5949074074074074
1791053	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	0	0
1658274	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14B	25.60941475826972	1
1658274	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14M	0	0
1658274	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14S	0	0
1517667	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14B	6.982789855072464	0.8432971014492754
1517667	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14M	4.379528985507246	0.4157608695652174
1517667	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14S	17.393115942028984	0.49728260869565216
1330625	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14B	53.784615384615385	0.9923076923076924
1330625	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14M	1.794871794871795	0.20427350427350427
1330625	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14S	0	0
595604	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14B	18.89272030651341	0.9272030651340996
595604	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14M	0	0
595604	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14S	0	0
591293	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	15.863636363636363	1
591293	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	7.148989898989899	0.37626262626262624
591293	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	0	0
1524063	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	4680.1136801541425	1
1524063	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	17604.950867052023	0.9990366088631984
1524063	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	2732.902697495183	0.9807321772639692
1017872	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	2542.480519480519	1
1017872	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	967.9935064935064	1
1017872	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	40.874458874458874	1
1514788	K00370	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	St3_S14B	1.186602870813397	0.4154704944178628
1514788	K00370	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	St3_S14M	11.05023923444976	0.6586921850079744
1514788	K00370	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	St3_S14S	21.74561403508772	0.854066985645933
259217	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	4.787037037037037	0.75
259217	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	27.959876543209877	0.9552469135802468
259217	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	0	0
294124	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14B	27.75	1
294124	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14M	0	0
294124	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14S	0	0
544358	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14B	18.236190476190476	0.7923809523809524
544358	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14M	0	0
544358	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14S	0	0
1734501	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14B	37.24406779661017	1
1734501	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14M	14.76271186440678	0.5988700564971752
1734501	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]	St3_S14S	0	0
1375753	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	15.44328097731239	0.9904013961605584
1375753	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	6.232984293193717	0.6701570680628273
1375753	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	0	0
1738209	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	7.598039215686274	0.9084967320261438
1738209	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	14.892156862745098	0.8513071895424836
1738209	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	0	0
1386808	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14B	4.225574712643678	0.21551724137931033
1386808	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14M	10.383620689655173	0.7083333333333334
1386808	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St3_S14S	42.014367816091955	0.9353448275862069
1386807	K00374	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	St3_S14B	0.7518796992481203	0.543859649122807
1386807	K00374	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	St3_S14M	9.904761904761903	0.8796992481203008
1386807	K00374	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	St3_S14S	2.8421052631578947	0.20300751879699247
1833581	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14B	496.6576576576576	1
1833581	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14M	307.37312312312315	1
1833581	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St3_S14S	58.01426426426426	0.7424924924924925
1707439	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St3_S14B	23.923809523809524	1
1707439	K00376	nitrous-oxide reductase [EC:1.7.2.4]	St3_S14M	0	0
