Gene_ID,KO,St1_S4B_coverage,St1_S4M_coverage,St1_S4S_coverage
1359363,K00368,20.27235772,20.0304878,0
691166,K00368,165.5046198,334.5195451,13.31769723
707695,K00368,41.85704023,69.13577586,12.55747126
687620,K00368,1282.924731,2415.362903,243.7858423
700737,K00368,2478.686594,2384.148551,1253.817029
854256,K00368,11.41666667,3.330917874,5.347826087
1185346,K00368,28.95791805,5.829457364,7.430786268
941749,K00368,38.13381995,27.69343066,5.357664234
1709903,K00368,105.2275523,88.92373924,34.86100861
1705673,K00368,344.4583333,682.0182927,178.3851626
65438,K00368,6.364341085,5.162790698,6.081395349
1031617,K00368,689.8962656,1204.789765,165.626556
26013,K00368,12.49516908,12.81884058,15.18599034
1787639,K00368,9.673789174,18.67165242,17.9031339
888296,K00368,40.10185185,45.63240741,5.362962963
895831,K00368,49445.22452,52866.89195,44637.37241
882932,K00368,14.21611722,18.08974359,8.263736264
87959,K00368,10915.16298,11415.02486,4717.441068
994614,K00368,1.933701657,17.4825046,0
1617538,K00368,14.71413502,12.26265823,18.98734177
1348289,K00368,19.22522523,17.71171171,3.405405405
411974,K00368,12.59770115,27.54187192,0
441287,K00368,145.1940701,279.3881402,10.42677448
516928,K00368,14.62246777,4.139963168,0
19512,K00368,9.057777778,9.224444444,0
189833,K00368,16223.03623,32930.33514,3152.751812
443514,K00368,34.88167388,66.08946609,4.24963925
823538,K00368,935.0734908,1874.667979,392.6049869
1814075,K00368,69.73137255,164.8156863,0
1468402,K15864,9.089108911,5.810781078,5.574257426
