Gene_ID,KO,St1_S4B_coverage,St1_S4M_coverage,St1_S4S_coverage
1359363,K00368,20.2724,20.0305,0
691166,K00368,165.5046,334.5195,13.3177
707695,K00368,41.857,69.1358,12.5575
687620,K00368,1282.9247,2415.3629,243.7858
700737,K00368,2478.6866,2384.1486,1253.817
854256,K00368,11.4167,3.3309,5.3478
1185346,K00368,28.9579,5.8295,7.4308
941749,K00368,38.1338,27.6934,5.3577
1709903,K00368,105.2276,88.9237,34.861
1705673,K00368,344.4583,682.0183,178.3852
65438,K00368,6.3643,5.1628,6.0814
1031617,K00368,689.8963,1204.7898,165.6266
26013,K00368,12.4952,12.8188,15.186
1787639,K00368,9.6738,18.6717,17.9031
888296,K00368,40.1019,45.6324,5.363
895831,K00368,49445.2245,52866.892,44637.3724
882932,K00368,14.2161,18.0897,8.2637
87959,K00368,10915.163,11415.0249,4717.4411
994614,K00368,1.9337,17.4825,0
1617538,K00368,14.7141,12.2627,18.9873
1348289,K00368,19.2252,17.7117,3.4054
411974,K00368,12.5977,27.5419,0
441287,K00368,145.1941,279.3881,10.4268
516928,K00368,14.6225,4.14,0
19512,K00368,9.0578,9.2244,0
189833,K00368,16223.0362,32930.3351,3152.7518
443514,K00368,34.8817,66.0895,4.2496
823538,K00368,935.0735,1874.668,392.605
1814075,K00368,69.7314,164.8157,0
742645,K00370,878.6661,1009.922,251.1167
594150,K00371,2.4505,14.2871,6.3498
1363937,K00371,10.2119,3.342,16.6811
815415,K00371,0.7502,9.2725,26.9735
85995,K00371,7687.8341,7547.8975,2080.3177
144516,K00371,55.7631,69.1036,41.3231
433983,K00371,8190.7754,7206.5446,2536.7527
528599,K00371,1780.6823,1350.2175,893.716
742644,K00371,691.1526,522.5736,229.5579
772410,K00371,12746.2707,12521.7199,4925.9703
894284,K00371,523.0258,645.8185,215.0751
1228756,K00371,78.424,116.4395,19.8915
747852,K00374,17.9413,5.8443,32.5668
123437,K00374,4.6273,7.1632,29.0478
815414,K00374,0,8.0645,24.4382
474316,K00374,1.3157,6.2746,3.1953
123436,K00374,0,4.4774,18.0989
1743784,K00376,11.0827,4.6706,1.3333
296938,K00376,23.3961,8.4638,4.3466
239047,K00376,16.0931,8.2598,3.6313
110498,K00376,5.2941,8.139,0
374090,K00376,9.8702,1.9231,0
793456,K00376,8.9385,0,0
921128,K00376,9.3483,4.0896,0
1401364,K02305,8.4604,3.2278,0
1445710,K02305,14.9201,16.6901,2.8947
1753152,K02567,11.96,9.6693,4.4833
1433084,K02567,12.6263,2.1465,0
1852908,K02567,4.2483,2.2242,20.1092
1168575,K02568,5.9083,11.0201,1.5839
648640,K02568,5.2407,2.0864,0
1431702,K02568,7.0235,4.4507,0
481953,K02568,18.703,19.8397,0
685198,K04561,17.1011,0.2232,0
1271679,K04561,11.4956,3.5383,0
468297,K04561,11.6298,5.9309,0
252981,K04561,21.7907,1.7374,29.561
540786,K04561,3.42,7.7399,0.7168
1468402,K15864,9.0891,5.8108,5.5743
