gene_callers_id	KO_ID	function	sample	coverage	detection
787798	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	St1_S4S	3832.279181708785	1
189833	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	16223.036231884058	1
189833	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	32930.335144927536	1
189833	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	3152.751811594203	0.9764492753623188
532820	K10945	methane/ammonia monooxygenase subunit B	St1_S4B	2368.440329218107	1
532820	K10945	methane/ammonia monooxygenase subunit B	St1_S4M	2403.3343621399176	1
532820	K10945	methane/ammonia monooxygenase subunit B	St1_S4S	1121.875514403292	1
1031617	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	689.896265560166	1
1031617	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	1204.789764868603	1
1031617	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	165.6265560165975	0.9723374827109268
1365488	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	St1_S4B	8.393162393162394	0.9943019943019944
1365488	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	St1_S4M	2.1623931623931623	0.7207977207977208
1365488	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	St1_S4S	0	0
1365487	K10946	methane/ammonia monooxygenase subunit C	St1_S4B	44.5511432009627	1
1365487	K10946	methane/ammonia monooxygenase subunit C	St1_S4M	22.45006016847172	1
1365487	K10946	methane/ammonia monooxygenase subunit C	St1_S4S	5.565583634175692	0.4536702767749699
528303	K10945	methane/ammonia monooxygenase subunit B	St1_S4B	8709.778929188256	1
528303	K10945	methane/ammonia monooxygenase subunit B	St1_S4M	10441.981001727116	1
528303	K10945	methane/ammonia monooxygenase subunit B	St1_S4S	1558.7443868739206	0.993091537132988
1441818	K10946	methane/ammonia monooxygenase subunit C	St1_S4B	416.8229166666667	1
1441818	K10946	methane/ammonia monooxygenase subunit C	St1_S4M	273.5954861111111	1
1441818	K10946	methane/ammonia monooxygenase subunit C	St1_S4S	81.67708333333333	0.9114583333333334
1617538	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	14.714135021097048	0.9862869198312236
1617538	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	12.2626582278481	0.8723628691983122
1617538	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	18.9873417721519	0.3934599156118144
182883	K10945	methane/ammonia monooxygenase subunit B	St1_S4B	14.912186379928317	1
182883	K10945	methane/ammonia monooxygenase subunit B	St1_S4M	10.738351254480287	0.3996415770609319
182883	K10945	methane/ammonia monooxygenase subunit B	St1_S4S	4.749103942652329	0.13978494623655913
1094130	K10945	methane/ammonia monooxygenase subunit B	St1_S4B	29.264116575591984	0.9344262295081968
1094130	K10945	methane/ammonia monooxygenase subunit B	St1_S4M	85.32058287795992	1
1094130	K10945	methane/ammonia monooxygenase subunit B	St1_S4S	22.162112932604735	0.8324225865209471
875592	K10945	methane/ammonia monooxygenase subunit B	St1_S4B	22.10619469026549	0.976401179941003
875592	K10945	methane/ammonia monooxygenase subunit B	St1_S4M	3.616519174041298	0.6755162241887905
875592	K10945	methane/ammonia monooxygenase subunit B	St1_S4S	0	0
1304976	K10945	methane/ammonia monooxygenase subunit B	St1_S4B	63.79889152810768	1
1304976	K10945	methane/ammonia monooxygenase subunit B	St1_S4M	34.98416468725257	0.978622327790974
1304976	K10945	methane/ammonia monooxygenase subunit B	St1_S4S	10.723673792557404	0.6152019002375297
772410	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St1_S4B	12746.270735524256	1
772410	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St1_S4M	12521.71987480438	1
772410	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	St1_S4S	4925.970266040688	1
65438	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	6.364341085271318	0.813953488372093
65438	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	5.162790697674419	0.5581395348837209
65438	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4S	6.0813953488372094	0.45542635658914726
228077	K10945	methane/ammonia monooxygenase subunit B	St1_S4B	38.51971326164875	0.8942652329749103
228077	K10945	methane/ammonia monooxygenase subunit B	St1_S4M	17.28673835125448	0.9587813620071683
228077	K10945	methane/ammonia monooxygenase subunit B	St1_S4S	6.365591397849462	0.30286738351254483
707695	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4B	41.85704022988506	0.9913793103448276
707695	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	St1_S4M	69.13577586206897	0.994971264367816
